,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
17316,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,6,5,ERRORABC123!?,7,3,ERRORABC123!?,5,ERRORABC123!?,8,ERRORABC123!?,8,6,ERRORABC123!?
17317,P,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,11,4,5,ERRORABC123!?,9,4,ERRORABC123!?
17318,D,1,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,5,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,6,2,ERRORABC123!?,2,8
17319,Z,ERRORABC123!?,4,4,ERRORABC123!?,2,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,11,7,7,ERRORABC123!?,8,6,6
17320,B,2,ERRORABC123!?,3,ERRORABC123!?,2,ERRORABC123!?,7,2,ERRORABC123!?,ERRORABC123!?,5,7,ERRORABC123!?,8,3,ERRORABC123!?
17321,B,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,7,2,ERRORABC123!?,10,ERRORABC123!?,6,2,ERRORABC123!?,ERRORABC123!?,9
17322,Y,4,ERRORABC123!?,5,8,ERRORABC123!?,10,ERRORABC123!?,5,3,6,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,7,5
17323,A,4,9,6,6,2,ERRORABC123!?,4,3,2,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
17324,ERRORABC123!?,2,1,ERRORABC123!?,2,ERRORABC123!?,6,10,5,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6
17325,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,5,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,7,6,7,ERRORABC123!?,2,ERRORABC123!?
17326,C,7,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,10,9,12,4,9,ERRORABC123!?,8
17327,N,6,9,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,5,10,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17328,P,6,8,8,ERRORABC123!?,ERRORABC123!?,5,14,6,ERRORABC123!?,ERRORABC123!?,6,2,1,10,3,7
17329,O,4,2,ERRORABC123!?,4,3,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
17330,O,ERRORABC123!?,8,5,6,ERRORABC123!?,7,ERRORABC123!?,7,4,ERRORABC123!?,7,9,3,ERRORABC123!?,ERRORABC123!?,7
17331,B,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,10,ERRORABC123!?,3,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,5,10
17332,G,6,8,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,6,6,8,5,6,ERRORABC123!?,7
17333,ERRORABC123!?,3,10,4,7,4,8,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,8,10,2,10,9,7
17334,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,9,2,ERRORABC123!?,ERRORABC123!?,9
17335,H,8,ERRORABC123!?,ERRORABC123!?,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,11,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,10
17336,Q,4,7,5,8,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,6,ERRORABC123!?
17337,L,3,7,4,5,ERRORABC123!?,9,3,1,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,0,6,2,10
17338,Z,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,3,ERRORABC123!?,5,3,8,11,4,9,2,7,6,ERRORABC123!?
17339,Q,3,3,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,9,3,8,5,ERRORABC123!?
17340,Q,2,5,ERRORABC123!?,ERRORABC123!?,3,9,ERRORABC123!?,6,1,3,7,11,ERRORABC123!?,10,5,ERRORABC123!?
17341,Y,6,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,11,10,6,1,10,2,ERRORABC123!?
17342,ERRORABC123!?,ERRORABC123!?,0,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,2,11,ERRORABC123!?,5,0,8,ERRORABC123!?,7
17343,M,3,ERRORABC123!?,4,5,ERRORABC123!?,8,6,5,4,ERRORABC123!?,7,8,ERRORABC123!?,ERRORABC123!?,2,7
17344,ERRORABC123!?,2,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,14,8,3,10,0,ERRORABC123!?
17345,F,3,4,3,5,1,1,12,5,ERRORABC123!?,11,10,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17346,H,4,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,8,6,7,7,ERRORABC123!?,8,3,8,ERRORABC123!?,ERRORABC123!?
17347,ERRORABC123!?,4,10,ERRORABC123!?,8,5,ERRORABC123!?,9,3,ERRORABC123!?,12,ERRORABC123!?,6,ERRORABC123!?,9,2,7
17348,V,6,8,6,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,4,10,12,ERRORABC123!?,2,10,1,ERRORABC123!?
17349,X,ERRORABC123!?,4,5,3,2,ERRORABC123!?,ERRORABC123!?,1,8,10,7,8,ERRORABC123!?,8,3,7
17350,I,1,3,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,7,ERRORABC123!?,6,ERRORABC123!?,0,8,2,8
17351,E,5,9,4,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,11,4,10,3,8,6,11
17352,E,ERRORABC123!?,9,8,8,9,7,7,5,4,ERRORABC123!?,7,ERRORABC123!?,9,ERRORABC123!?,11,12
17353,ERRORABC123!?,4,8,6,ERRORABC123!?,4,5,ERRORABC123!?,ERRORABC123!?,8,11,10,ERRORABC123!?,3,8,5,ERRORABC123!?
17354,I,4,ERRORABC123!?,ERRORABC123!?,4,3,6,ERRORABC123!?,ERRORABC123!?,8,7,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17355,X,3,9,4,7,3,ERRORABC123!?,ERRORABC123!?,4,4,7,6,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,8
17356,H,ERRORABC123!?,7,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,3,ERRORABC123!?
17357,U,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?,7,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8
17358,H,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,7,10,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17359,S,5,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
17360,ERRORABC123!?,4,10,5,ERRORABC123!?,3,8,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
17361,ERRORABC123!?,6,7,6,ERRORABC123!?,5,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,10,11,ERRORABC123!?,ERRORABC123!?,7,8
17362,ERRORABC123!?,ERRORABC123!?,11,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,13,9,6,8,0,8,ERRORABC123!?,ERRORABC123!?
17363,N,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,3,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,9,2,6
17364,Z,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,2,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8
17365,ERRORABC123!?,0,8,ERRORABC123!?,5,0,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,0,8,ERRORABC123!?,8
17366,ERRORABC123!?,ERRORABC123!?,11,5,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,6,10,ERRORABC123!?,7,4,9,6,12
17367,U,9,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,4,ERRORABC123!?,3,8,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17368,T,6,ERRORABC123!?,6,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,5,6,ERRORABC123!?,ERRORABC123!?,2,2,ERRORABC123!?,2,ERRORABC123!?
17369,C,4,9,5,6,2,6,8,7,ERRORABC123!?,ERRORABC123!?,6,14,ERRORABC123!?,7,4,9
17370,I,ERRORABC123!?,ERRORABC123!?,2,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,13,6,8,ERRORABC123!?,8,1,ERRORABC123!?
17371,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,11,5,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,11,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,7
17372,I,ERRORABC123!?,ERRORABC123!?,0,7,ERRORABC123!?,7,ERRORABC123!?,4,4,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
17373,ERRORABC123!?,3,ERRORABC123!?,4,3,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,4,ERRORABC123!?
17374,Y,9,10,8,8,4,3,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,3,6
17375,ERRORABC123!?,7,9,5,4,ERRORABC123!?,9,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7
17376,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,5,6,5,ERRORABC123!?,3,ERRORABC123!?,6,ERRORABC123!?
17377,ERRORABC123!?,4,8,6,ERRORABC123!?,ERRORABC123!?,8,4,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,3,8,3,ERRORABC123!?
17378,C,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?,6,8,6,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,3,10
17379,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,13,8,10,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,11,11,12,ERRORABC123!?,6,ERRORABC123!?
17380,ERRORABC123!?,ERRORABC123!?,12,5,6,4,ERRORABC123!?,ERRORABC123!?,4,6,11,4,8,3,8,8,ERRORABC123!?
17381,Y,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,2,ERRORABC123!?,ERRORABC123!?,10,5,1,10,ERRORABC123!?,4
17382,ERRORABC123!?,3,ERRORABC123!?,5,ERRORABC123!?,4,6,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,8,3,10,ERRORABC123!?,7
17383,ERRORABC123!?,5,11,ERRORABC123!?,ERRORABC123!?,3,3,8,6,12,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,7,6
17384,ERRORABC123!?,4,7,5,5,4,ERRORABC123!?,8,8,ERRORABC123!?,5,6,11,4,9,ERRORABC123!?,ERRORABC123!?
17385,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,6,8,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?
17386,R,ERRORABC123!?,9,6,7,6,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7,3,ERRORABC123!?,ERRORABC123!?,9
17387,ERRORABC123!?,6,ERRORABC123!?,8,ERRORABC123!?,4,5,8,5,ERRORABC123!?,7,8,8,ERRORABC123!?,9,0,8
17388,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,9,8,ERRORABC123!?,5,6,ERRORABC123!?,8,3,8,ERRORABC123!?,7
17389,W,2,3,ERRORABC123!?,1,2,ERRORABC123!?,10,4,2,ERRORABC123!?,8,7,5,ERRORABC123!?,ERRORABC123!?,6
17390,F,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,8,ERRORABC123!?,ERRORABC123!?,4,9,6,6,ERRORABC123!?,10,4,ERRORABC123!?
17391,K,3,5,ERRORABC123!?,ERRORABC123!?,3,5,ERRORABC123!?,1,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,3,8
17392,ERRORABC123!?,4,8,4,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,11,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,4,9
17393,Y,ERRORABC123!?,8,ERRORABC123!?,6,3,5,9,ERRORABC123!?,ERRORABC123!?,8,12,10,ERRORABC123!?,11,2,ERRORABC123!?
17394,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,2,1,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,7,ERRORABC123!?,8,ERRORABC123!?,7
17395,ERRORABC123!?,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,5,7,5,8,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?
17396,B,ERRORABC123!?,8,8,6,6,11,5,2,ERRORABC123!?,10,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17397,ERRORABC123!?,2,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,3,5,9,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,10
17398,Z,ERRORABC123!?,3,2,1,1,8,7,1,ERRORABC123!?,11,6,8,ERRORABC123!?,8,ERRORABC123!?,8
17399,K,ERRORABC123!?,11,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,2,7,ERRORABC123!?,10,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,7
17400,F,ERRORABC123!?,5,5,3,ERRORABC123!?,7,ERRORABC123!?,2,6,13,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,7
17401,N,3,2,ERRORABC123!?,ERRORABC123!?,3,7,9,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,9,2,6
17402,ERRORABC123!?,2,0,2,1,0,2,1,6,5,ERRORABC123!?,2,4,ERRORABC123!?,8,ERRORABC123!?,8
17403,P,2,ERRORABC123!?,2,ERRORABC123!?,1,ERRORABC123!?,11,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,3,0,9,ERRORABC123!?,6
17404,G,ERRORABC123!?,4,ERRORABC123!?,7,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,11,1,ERRORABC123!?,5,11
17405,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,0,8,9,8
17406,Q,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,2,ERRORABC123!?
17407,X,ERRORABC123!?,1,2,ERRORABC123!?,0,ERRORABC123!?,7,ERRORABC123!?,4,7,6,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,7
17408,Y,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,0,7,9,ERRORABC123!?,2,6,12,ERRORABC123!?,1,10,ERRORABC123!?,8
17409,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,4,3,7,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,5,2,ERRORABC123!?,2,7
17410,S,5,9,8,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,7,6,ERRORABC123!?,3,8,9,2
17411,P,ERRORABC123!?,13,ERRORABC123!?,8,4,ERRORABC123!?,9,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,10,5,8
17412,Z,4,10,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,6,8,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17413,N,ERRORABC123!?,10,8,ERRORABC123!?,ERRORABC123!?,12,ERRORABC123!?,5,3,13,ERRORABC123!?,ERRORABC123!?,5,7,0,8
17414,Z,ERRORABC123!?,12,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,8,12,6,10,ERRORABC123!?,7,ERRORABC123!?,8
17415,K,ERRORABC123!?,ERRORABC123!?,6,6,6,ERRORABC123!?,6,5,ERRORABC123!?,6,ERRORABC123!?,7,7,6,8,12
17416,I,ERRORABC123!?,3,ERRORABC123!?,2,1,7,7,ERRORABC123!?,7,ERRORABC123!?,6,8,0,ERRORABC123!?,2,ERRORABC123!?
17417,H,5,9,6,6,3,7,10,ERRORABC123!?,2,7,3,8,3,8,ERRORABC123!?,ERRORABC123!?
17418,ERRORABC123!?,ERRORABC123!?,4,0,6,ERRORABC123!?,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,ERRORABC123!?,8
17419,D,ERRORABC123!?,12,7,7,ERRORABC123!?,ERRORABC123!?,6,4,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,6
17420,O,ERRORABC123!?,7,5,5,ERRORABC123!?,ERRORABC123!?,6,5,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,9,5,10
17421,J,ERRORABC123!?,8,3,6,ERRORABC123!?,ERRORABC123!?,4,4,4,13,2,8,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17422,D,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,1,7,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,6,4,2,8,ERRORABC123!?,6
17423,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,5,ERRORABC123!?,6,ERRORABC123!?,4,ERRORABC123!?,8,11,8,ERRORABC123!?,12,1,ERRORABC123!?
17424,V,3,9,5,6,ERRORABC123!?,7,8,ERRORABC123!?,3,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,0,8
17425,B,4,ERRORABC123!?,5,8,7,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,5,7,2,8,ERRORABC123!?,9
17426,ERRORABC123!?,ERRORABC123!?,8,3,6,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
17427,P,5,10,ERRORABC123!?,ERRORABC123!?,4,8,9,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,4,3,9,4,ERRORABC123!?
17428,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,5,5
17429,G,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,6,7,7,6,ERRORABC123!?,8,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
17430,Y,3,7,5,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,2,8,8,4
17431,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,13,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
17432,Y,7,ERRORABC123!?,8,8,5,3,9,2,ERRORABC123!?,9,11,7,2,11,ERRORABC123!?,5
17433,Y,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,3,6,8,9,4,11,ERRORABC123!?,7
17434,G,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,7,5,4,ERRORABC123!?,ERRORABC123!?,5,11,ERRORABC123!?,8,ERRORABC123!?,14
17435,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,7,1,7,7,6,ERRORABC123!?,0,8,ERRORABC123!?,ERRORABC123!?
17436,E,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,7,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
17437,T,2,4,ERRORABC123!?,2,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,5,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?
17438,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
17439,H,ERRORABC123!?,14,ERRORABC123!?,8,5,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,10,5,9
17440,ERRORABC123!?,ERRORABC123!?,10,6,8,7,7,7,ERRORABC123!?,4,7,ERRORABC123!?,7,ERRORABC123!?,6,8,ERRORABC123!?
17441,Z,3,8,ERRORABC123!?,6,2,7,ERRORABC123!?,4,13,ERRORABC123!?,ERRORABC123!?,8,0,8,8,8
17442,U,ERRORABC123!?,13,8,7,ERRORABC123!?,6,6,4,5,6,7,8,5,6,3,ERRORABC123!?
17443,A,ERRORABC123!?,5,ERRORABC123!?,4,2,10,2,2,ERRORABC123!?,9,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
17444,ERRORABC123!?,ERRORABC123!?,9,6,7,6,ERRORABC123!?,6,4,7,ERRORABC123!?,ERRORABC123!?,10,3,ERRORABC123!?,6,ERRORABC123!?
17445,Q,ERRORABC123!?,6,4,ERRORABC123!?,3,9,ERRORABC123!?,7,ERRORABC123!?,5,ERRORABC123!?,10,ERRORABC123!?,8,ERRORABC123!?,9
17446,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,4,2,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,6,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8
17447,ERRORABC123!?,ERRORABC123!?,10,8,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,6,13,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6
17448,H,4,5,ERRORABC123!?,4,4,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,8,3,7
17449,Y,3,ERRORABC123!?,5,6,2,8,10,2,ERRORABC123!?,6,12,ERRORABC123!?,1,11,ERRORABC123!?,8
17450,S,ERRORABC123!?,3,ERRORABC123!?,2,1,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,6,7,ERRORABC123!?,8,8,8
17451,Y,3,9,5,6,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17452,K,ERRORABC123!?,8,6,6,5,8,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
17453,ERRORABC123!?,3,9,ERRORABC123!?,ERRORABC123!?,1,7,ERRORABC123!?,ERRORABC123!?,3,7,ERRORABC123!?,8,1,ERRORABC123!?,0,8
17454,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,4,5,ERRORABC123!?,13,9,ERRORABC123!?,1,6,ERRORABC123!?,ERRORABC123!?
17455,W,5,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,2,7,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,0,8
17456,ERRORABC123!?,4,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17457,ERRORABC123!?,ERRORABC123!?,15,ERRORABC123!?,8,4,7,ERRORABC123!?,5,ERRORABC123!?,4,5,11,6,ERRORABC123!?,ERRORABC123!?,6
17458,ERRORABC123!?,7,12,ERRORABC123!?,ERRORABC123!?,5,9,6,4,7,11,5,8,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?
17459,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,15,0,8,ERRORABC123!?,ERRORABC123!?
17460,P,3,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,9,3,2,7,8,6,5,10,5,5
17461,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,9,ERRORABC123!?,ERRORABC123!?,11,11,11,4,ERRORABC123!?,4,5
17462,Q,7,15,6,8,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,8,ERRORABC123!?,9,7,13
17463,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,11,ERRORABC123!?,7,ERRORABC123!?,5,ERRORABC123!?,9,ERRORABC123!?,6,5,10,ERRORABC123!?,8
